Rest_id,name,lat,lon,rating
433,Cafe Coffee Day,28.4532365,77.0504568,3.1
434,Cake Castle,28.453487,77.0511154,3.2
435,CHA,28.4457809,77.0446703,3.2
436,Chai Point,28.4645465,77.0549336,2.9
437,Food Ka Mood,28.4491214,77.057398,3.1
438,Frozen Factory,28.4529016,77.0505547,3.1
439,Green Chick Chop,28.4538134,77.0512923,3.1
440,Kk Chaap Express,28.4527412,77.0506317,3.3
441,Mitran Da Junction,28.4540489,77.051332,2.7
442,Mother Ringlet,28.4535417,77.0509743,2.5
443,Yashna,28.4530419,77.0510225,2.8
444,Twigly,28.4344744,77.0587634,4.5
445,Bakers Oven,28.4529609,77.0509348,3.6
446,LeanBodyMeals,28.455681,77.055519,3.9
447,Tasty Tweets,28.453446,77.0511135,3.9
448,The Kathi Rolls,28.4530322,77.0507229,3.5
449,Flying Cakes,28.4497559,77.0571362,2.4
450,Bikkgane Biryani,28.4528047,77.0505305,4
451,Cafeast,28.4444788,77.03975882,3
452,Midnight Sutra,28.4507062,77.0906106,3
453,Sugar Rush By Saiba,28.4514497,77.0959808,4.1
454,Bamboo House,28.4351572,77.0593066,3.4
455,Burger Unlimited Kitchen,28.4350181,77.0595047,3.2
456,Cafeteria Point,28.4340212,77.0598728,3.2
457,Choudhary Gohana Famous Jalebi,28.4341404,77.0599779,3.2
458,Delish Bake N Choc,28.4349266,77.0589267,2.9
459,Flavours,28.4345889,77.0587691,3.3
460,Om Sweets,28.4349952,77.0591044,3.2
461,Raj Restaurant,28.4342048,77.0593696,3.1
462,Urban Kitchen,28.4352128,77.0593757,3.2
463,Nite Bites,28.4471752,77.0724033,3.7
464,Raj Restaurant,28.4448577,77.0596229,2.4
465,Burger Hut,28.4802841,77.0205232,2.8
466,Dancing Turkeys,28.4477683,77.0710139,3.3
467,Zizo,28.4454847,77.1011865,3.9
468,Bunny Burgers,28.4251591,77.0991634,3.3
469,Curry Haus,28.420766,77.093894,3.1
470,Droolfi,28.42517935,77.09959824,3
471,Earthen Spices,28.4213907,77.1019507,2.7
472,FatPlates,28.4211708,77.1018657,3
473,Giani,28.4255681,77.1000368,3.2
474,Great Desserts Company,28.4273124,77.0982526,3.3
475,Green Chick Chop,28.4250375,77.0992983,2.9
476,Mughlai Treat,28.421414,77.1017259,3.2
477,Munch,28.434589,77.1349572,3.1
478,New Spice World,28.42516814,77.09929749,2.9
479,Pure Bliss,28.42894133,77.09992748,3
480,Shanghai Cafe,28.4285248,77.1000683,2.6
