,lat,lon
440,12.9732119,77.6217398
441,12.9830301,77.5943718
442,13.026256,77.6062003
443,13.0187152,77.6555768
444,12.97285,77.6168003
445,13.0138084,77.6618674
446,12.9118641,77.5867606
447,12.9206732,77.6123589
448,12.9197873,77.6122951
449,12.9658764,77.5860284
450,12.9294812,77.5637259
451,12.9170457,77.5931523
452,13.0095498,77.6434526
453,13.0144106,77.6427176
454,13.0119854,77.6475134
455,12.9365165,77.6274121
456,12.9535994,77.6980241
457,12.9683052,77.6504678
458,13.0118335,77.668096
459,13.0127088,77.6650142
460,12.9166803,77.5898443
461,12.9715903,77.6084985
462,12.9718928,77.6065672
463,12.9683294,77.5380482
464,12.9583342,77.5259368
465,12.9603129,77.513258
466,12.9809408,77.5354587
467,12.9348525,77.6157906
468,12.9340146,77.6163371
469,12.9417545,77.6215457
470,12.9577755,77.5694742
471,12.9170404,77.5934403
472,12.9552387,77.5790523
473,13.0291469,77.519671
474,13.0287027,77.5199016
475,13.0203561,77.5084325
476,12.9976921,77.5475818
477,12.9886227,77.5378109
478,12.9793911,77.5772631
479,12.9713119,77.5997267
480,12.9759781,77.6147774
481,12.9937763,77.6607309
482,12.9831416,77.5593081
483,12.9989198,77.552547
484,12.9831807,77.5597454
485,12.9991733,77.571022
486,12.9334671,77.5833269
487,12.9219463,77.5934768
488,12.9230467,77.593202
489,12.9760661,77.5315149
490,12.972957,77.5397309
491,12.9729139,77.5395347
492,12.9808177,77.535785
493,12.9717891,77.5962374
494,12.97181,77.5961248
495,12.9719198,77.5961248
496,12.971465,77.6008347
497,12.958286,77.605196
498,12.9651862,77.6032726
499,12.9624485,77.5991698
500,12.9638704,77.5966485
501,12.9670967,77.5988615
502,12.9677179,77.6030161
503,12.9865706,77.6194475
504,12.9758154,77.616548
505,12.9550393,77.7297525
506,12.9758363,77.6165158
507,13.0295011,77.570964
508,12.9065087,77.5929267
509,13.0367811,77.5660503
510,13.0282521,77.5729006
511,12.8945443,77.6203167
512,12.8929275,77.5816768
